Source,Destination,Protocol,Length,Type,Duration,Label
33952,443,1,52,0,0.000659,Benign
33952,443,1,52,0,0.000051,Benign
33952,443,1,52,0,0.000216,Benign
33952,443,1,52,0,0.000176,Benign
443,33952,1,1400,1,0.000118,Benign
443,33952,3,1400,1,0.000035,Benign
443,33952,1,1400,1,0.000212,Benign
443,33952,1,1400,1,0.000007,Benign
443,33952,3,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000341,Benign
443,33952,1,1400,1,0.000006,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000005,Benign
443,33952,3,1400,1,0.000001,Benign
33952,443,1,52,0,0.000215,Benign
33952,443,1,52,0,0.000037,Benign
33952,443,1,52,0,0.000035,Benign
33952,443,1,52,0,0.000221,Benign
33952,443,1,52,0,0.000175,Benign
443,33952,1,1400,1,0.000187,Benign
